,DUKE-00650,DUKE-00651,DUKE-00652,DUKE-00653,DUKE-00654,DUKE-00655,DUKE-00656,DUKE-00657,DUKE-00658,DUKE-00659,DUKE-00660,DUKE-00661,DUKE-00662,DUKE-00663,DUKE-00664,DUKE-00665,DUKE-00666,DUKE-00667,DUKE-00668,DUKE-00669,DUKE-00670,DUKE-00671,DUKE-00672,DUKE-00673,DUKE-00674,DUKE-00675,DUKE-00676,DUKE-00677,DUKE-00678,DUKE-00679
aspartate,11900815,14609346,25295176,21731258,27097286,1495666.3,923836.3,9352082,8370719,2396804,32277956,3106117.5,13067253,641188.7,1853155.5,9951486,21410944,27268952,70417128,27349450,20442268,51094532,20611558,3242156.3,13711315,27956946,20795570,23837036,34674052,12575048
aspartylleucine,41326.6,232275.2,56662.9,118159,80230.6,11099.3,24019.4,14544.3,17028.9,12988.3,68048.8,12159.2,,10354.5,,41579.7,68704.5,17477.1,91652.8,37168.4,27222.2,33114.3,44663.9,22125.4,323420.1,44985.3,24774,29817.6,38288.6,17787.4
aspartylphenylalanine,19073.5,95554.8,30756.2,49553.2,39875.3,43283.7,,,,11819.9,28640.2,12013.3,,10854.8,,22357.6,30374.6,,30526.7,19114.4,11602.8,19976.6,18663.3,,169828.8,24110.9,9592.7,16936,18074.9,11896.2
assymetric dimethylarginine (ADMA),92772,164399.4,102018.6,74998.9,91006.5,78736.4,82640,81656.6,73823.6,99123.9,127844.4,98191.1,105409.9,117849.8,51454.8,127567.6,170938.1,70646.3,124969.5,97922.1,77583.9,90581.5,232715.7,133829.3,140131.6,190042.1,117646.2,142259.5,135397.5,168049.2
azelate (nonanedioate),3597.9,20223.4,3491.2,5041.6,4643.8,4961.1,5663,5044.7,5116,5751,2782.8,8193.9,5354.3,5864.2,6054,5470.8,3016.9,5969.1,7559.1,4928.4,3326.1,7778.8,4397.5,3213.1,5781.2,7319.6,2714,2166.3,7780.5,3985.4
benzoate,589574,690609.4,812084.5,823617.1,922075.4,512362.1,9218630,5681347,723083.1,4623515.5,457538.4,3635271,751851,2731869.8,1243397.1,3746991.8,762486.6,3891643.5,538103.3,963644,1250518.9,939056.3,790520.8,2546636.5,495285.9,941219.4,728086,545711.4,771052.5,953298.8
beta-alanine,317080.6,243745.3,391107.2,133060.8,648781.9,57742,,70291.9,105091.8,18760,2607977.3,178713.4,184320,25073.5,27205,258975,638965.1,118220.1,320258.2,210568.5,218092.5,186170,346514.8,1945222.1,547800.8,1173812.3,553046.9,405267.2,365394.1,72235
beta-hydroxyisovalerate,2256.4,,8665.8,4216.5,5275.8,3128.1,4501.1,5620.2,,6745.3,5789.4,5199.4,4150,4269.9,,5726.1,9037.5,6361.7,,5088.9,13252,9574.8,8468.2,4907.1,4136.7,5452.2,5897.4,,6918,3774
betaine,741801.6,699818.8,773730,890950.8,1807318.3,298551.8,580683.4,1214898.4,1281291.6,424029.8,2586066,692332.3,776837.8,649644.4,497889,660544.4,912059.6,820061.1,436415.8,2943137.5,1479618.5,332325.7,612671.1,632660.6,1007482.6,1473525.3,1384188.3,589637.8,522378.6,707106.9
butyrylcarnitine,7590123,2768222.3,3220260.3,2013095.9,1557633,31638.3,107596.7,650090.2,1547710.4,100149.7,4044134.5,1345300,398641,60375.9,121695.3,553282.4,1073217.1,1272338.5,7944379,843407.9,249219.7,470096.2,2309340.5,667997.6,1292173.3,691527.4,10767518,1148836.8,2047362.4,796852.1
C-glycosyltryptophan,494137.3,876026.8,576643.3,744908.7,338741.3,25906.7,26238.6,165168.1,267506.3,43927.8,245807.1,215551.8,161174.3,28207,36896.6,146303.7,295533.7,436745.5,264659.9,222493.3,493350.3,494468.1,247949.6,186255.9,981582.8,1034666.9,390421.6,521455,239594.9,175120.5
caprate (10:0),80704.1,63684.8,61412,42308.8,62315.8,80448.7,291348.9,149730.9,66223.3,244940,51798,232964.7,82344.2,163395.5,103689.3,172130.8,54864.4,110325,35361.7,77882.4,44655.3,43398.1,81854,100619.8,38669.7,66530.8,57664.3,49819.5,50901,84453.1
caproate (6:0),6641.7,6504.4,9164.6,4621.4,4429.7,11154.2,22238.2,16367.1,5720.1,16404.6,6652.5,21294.9,7802,22236.9,40386.3,17415.5,,10326.3,6327.2,6267.1,3978.7,,7114.9,7231.8,4189,,5045.9,7009.2,,9726.6
caprylate (8:0),25707.7,33744.4,,,21758.3,23742.8,64700,34575.4,21541.1,75983.9,12867.5,60199.3,12717.8,41505.1,56609,37909.9,19876.8,19771.3,15584.1,,,,32460.6,37858,,,22616.9,13479.2,,28878.1
carnitine,3238396,2494568.5,6206862,3762325.5,4537818,968041.6,1185341.9,4553482,2723806.8,981123.1,4326278.5,2281426,1603141.5,1334258.9,1360456.3,3254189,2481207.3,2124490.8,3357437,3068281.8,2919453.8,1308718.1,3619359.3,3319592.3,3982503.8,2162858.3,3801385,2439570,2297144.8,2464728
carnosine,,,9433.8,3978.1,174791.9,2784.7,,,3499.9,,,,2738.5,,,3163.8,7717.9,,,4864.3,8245,,,,5895,1962.9,4332.2,,4047.7,2455.1
catechol sulfate,8742.2,5284.3,4208.2,36439,3506.7,31979.6,34192.5,12355.4,16224,18052.4,,12311.5,27567.5,148511.7,11275.2,9729,11929.9,12345.5,39657.1,15807,,,61344.7,19526.7,6073.5,20564.5,5867.2,2532.2,4900.2,57816
chiro-inositol,43828,40525,,26648,46652.6,79653.7,42656.6,65257.6,70062.8,27461,146430.9,214682.2,,50455.2,,,,146398.7,78560,,79807,42623,56455,177142.6,92479.5,,49057.4,24041,41150,96672
cholate,6587.4,7324.4,5639.3,16153.9,,29587.1,6687.1,,,9365.2,,5121.6,103596.8,8509.1,20731.6,,,5105.8,,5587.6,,,8470,9198.3,,9510.3,7929.5,,6463.2,6498.3
cholesterol,4120722,4363778.5,12269389,7096512.5,6638574,2202575.5,1993068.8,4752311.5,5963916.5,7951255,5859806.5,9367548,4995072,1965549.3,3623438,9892029,6384912,10348248,10982003,7242645,9905276,8589665,5920959,17004168,7255946,7405572.5,3153910.8,4741148,8052466.5,4613019
choline,3668837.5,3455914.3,5428598.5,2918306.5,3229025.8,1383077.6,929546.1,2117510,1954378.1,2180281,1775826.3,2355335.8,2607177.8,1733368.8,2580003,2279229.8,3458248.3,2798348,2172288.8,2318835,2477028.5,1809678.1,3029056,2099205.8,4175572.3,3157853.8,1732567.8,2423216.3,3007253.5,2135033
phosphocholine,3498604,848650.7,2958206.3,5895970.5,1809344.8,342915.8,679224.6,1921883.1,2451797.8,870511.6,8098916,3096952.3,1895933.1,390626.8,508364.1,7444644,5574122.5,4105583.3,1498644.4,2348628.3,9696560,2803476.8,6918982.5,14538191,2546008.5,3977332.8,9259692,5324654,3046467,1550605.3
cis-urocanate,3009,3138.3,3795.9,7621.7,4035.4,20176.9,5524,8373.9,,22048.5,2643.1,11137.3,4667.3,62076.1,4498.8,4723.6,,5952.3,3501.5,2819.5,2864.7,3538.4,7210.3,4381.5,2273.3,7573.6,3042.8,3557,,2486.9
cis-vaccenate (18:1n7),2059999.3,1992596.8,820476.6,1265389.1,1186366.1,1050479.5,195948.7,548555,582621,743128.3,1007540.1,873537.3,395460,852583,540448.5,1334708.5,1624911,1362244.3,1625673.5,818345.1,369406,777040,1515198,1177874.6,4425816.5,1005126.6,475037.4,267473.1,987251.5,435363.5
citrate,1995276.9,290851.4,2360881.8,566715.3,2302963.3,2137012.3,1772565.8,1932317,3122313.3,2211163.5,1971805.1,2584599,3087524.3,1257154.5,2712667,154334,8431909,564263.5,1092671.6,3936821.3,1339133.4,5004002.5,2470918.5,2681878,2027012.8,7485735.5,3044347.3,2395187,1724086.5,2708195.5
citrulline,70622,131387.5,71610,221850.5,82220.5,203963.9,139562.9,143025.7,145464.2,139996.5,89230.3,216697.3,77815.9,234697.2,125063.6,112488,110296.3,221722.1,357764.2,165400.8,298158.1,54940.3,188861.1,89006.7,186196.1,145161.8,168240.7,70563.5,96873.3,105558.8
coenzyme A,2018,6327.9,,12676.7,27809.7,,,2799,,,76803,,,,,5674.2,9222.7,78257.7,7101.6,,86868.8,30334.8,4448.6,11670.5,11977,,6421,5120.3,,
Coproporphyrin I,,,,,,,,,,,11270.6,,,,,,,,,,,,,,,,,,,
creatine,2577158.8,4814345,8319870.5,8536871,9707070,1352937.5,932231.1,4263717,7471989.5,1355952.9,15062391,2352778.5,3317904.5,1053648.6,2445953.8,2816174,5913954.5,6210343,7901132.5,3207894.5,11469898,2907100.8,2526011.8,9127363,11835722,5475320.5,5192015,5194930.5,4643488,2482991.5
creatinine,175065.3,243896.5,203330.2,261518.3,136237.6,326773.1,251320.2,125691.5,234878.8,260591.6,175228,387052.8,301376.9,411040.1,258754.8,201823.5,297028.2,126726.6,170441.3,186891.2,228671.5,123766.7,201823.4,262221.2,251420.1,141191.7,175306.3,306408.3,204259.5,352641
cystathionine,349547.5,,106301,97426,78503,,,,,,,129077,60024,45558.7,,96980,404636.5,57557,107750,,,265534.8,463139,150051,88689,324585.4,6018503,73676,231809.5,57534
cysteine,5134611.5,2196832.3,7258841,10702265,7072813,263439.3,321169.8,503420.7,626797.5,313757.4,13123923,1540602.5,827480.3,288201.4,381656.3,540345.1,1902856.8,1203235.6,9149420,2418324.5,9056333,5044275.5,2619066.3,4698023.5,25921030,4524462.5,7997121.5,3455057.3,2675714.3,293121.6
cysteine-glutathione disulfide,1635571.9,762723.2,224505.4,1884192.5,892339.1,245249.8,439474.2,230157,211787.1,250189.2,1625533.9,804866.8,993854.3,224235,242184.6,291172.1,498051.8,288363.5,2933929.8,627419.9,2034027.8,966973.9,592233.3,1169984.4,3672935,1107251.6,1671656.9,1626635,652259,317926.6
cysteinylglycine,,,,,,,,,,,,,,,,,,,,,,,,,175721.2,,,,,
cystine,238990.9,,1614009.9,334428.8,,,,,,,,194398.1,,,,,,,541573.5,358273,,,,,717684.8,,299568.4,111144,640334.9,
cytidine,17558.8,246076,47832.1,68266.6,91986.8,69999.7,78326.4,58052.4,75923.6,56579.8,51990.6,305522.3,81512.8,71371.6,155746.1,65970.3,101047,60365.5,27465.3,95331.2,121096.4,62362,49838.4,159138,94314,356437.8,102575.2,56521.8,212274,191745.4
cytidine 5'-diphosphocholine,814741,676737.8,1098133.8,864565.5,323291.4,,,84660.6,236074.8,,1835818.4,94478.5,154246.3,6693.5,17298.8,140432.7,1447390.5,188634.5,710552.6,104982.1,315802.9,720398.4,383716.3,727166.3,1765719.4,270232.1,282227.3,523463.8,391963.7,68062.4
cytidine 5'-monophosphate (5'-CMP),98557.8,78304.2,148529.5,90663.6,168860.3,16657.5,13423.5,113822.6,39329.9,10455.4,231028.7,111296.4,55771.6,7191,16391,93343.4,195767,132702.2,229390.5,186360.5,673957,302736.5,94804.7,288090.4,270828,91179.9,217454.1,103928,182707.7,45036.6
cytidine 3'-monophosphate (3'-CMP),,64897.8,,24831.9,,,,,,,,35896.7,,,,,55121.5,47646,,24327.2,,,66616,46364.3,,197922.7,22682.4,31788.9,39746,
cytidine-5'-diphosphoethanolamine,316229.6,228682.8,198827.2,200303.1,127471.2,,11150.8,103438.8,72128.1,7343.7,422316.3,71000.1,72974.4,6665,11838.5,156989.7,390050.8,107859.4,167502.3,98758.3,226863.3,361710,133148.7,232236.5,591397.1,170200.1,211987.4,121049.8,155428.9,38090.1
dehydroisoandrosterone sulfate (DHEA-S),13184,27980.5,10890.6,,,24712.1,28836.8,,4236.3,7828.1,22239.7,,3429.5,72453.9,546770.9,8907.9,47035.2,,20215.5,5005.7,,,15635,,,12862.7,4909.2,11994.8,31215.9,47372.8
delta-tocopherol,,,,,,,,,,,,,,,,,,95150,,,,,,,,,,,,
deoxycarnitine,202716.6,159604.3,282269.3,180781.3,268169.7,52218.1,39787.2,195689.9,186681.8,38349.9,254470.1,134570.4,94609.9,62733.5,41347.9,134222.9,279894.6,109571,154778.2,287485,241808.1,222494.7,217414.5,307303.3,168457,364855.9,299055.4,204813.1,156914,140010.1
deoxycholate,11532.4,5683.7,6459.2,15416,,18839.9,9641.5,,,13590.8,,10585,1072793.4,36285.9,38978.8,,9467.8,6406,18835.9,10906.5,,,3449.2,,33897,9492.1,,5395.2,4823.9,
dihomo-linoleate (20:2n6),3488288,3772203.3,3604305.5,4695524,4149009,1027388.2,240135.3,838911.8,2589732,507548.7,1608196.6,915931.7,1050149,462936.1,978043.8,1310191,4216160,3576023.3,2966465,1814265.3,1760047,865392.5,1546612.3,901568.5,16122285,2545266.3,1272447.9,1853352.6,2994014,2681435
dihomo-linolenate (20:3n3 or n6),8855137,5536915,10872109,5429313,2259069.3,716497.8,281386.1,608837.9,3715888.5,1087070.3,4196086.5,1543618.8,1407967.1,708176.9,816438,3378281.3,9935626,3044175.5,5168128.5,3168057,1691838.9,4004141,3248083.8,1671740.4,27535894,4915116.5,1899986.6,2253218.3,3380978.3,1604247.3
dihydrocholesterol,,53234,56550,65789,74591,,,,49339,25893.7,,73617,,,,45179,,76282,56107.3,66254,44147,36870.8,26432,,40595,,17255,33369,26992,
docosadienoate (22:2n6),399999.7,538130.9,380676.3,686749.8,428827.7,75835.6,25510,63987.3,347077,35107.7,232818.6,114259.4,83668,30998.8,207000.5,185304.5,432464.3,282827.1,226651.5,189428.3,395563.5,99572.8,219471.5,139579.9,1645238,440397,133782.3,192735.5,563675.3,200588.3
docosahexaenoate (DHA; 22:6n3),2604963.5,1977015.4,3698178.3,689930.6,1715655.8,618508.8,175557.9,186380.7,1359607.8,341007.9,842793.8,492436.2,678637.9,139754.6,333454.8,941762.9,472920.5,1314950.1,627944.4,795055.4,1022963,609296.8,564652.4,449311.3,3635426.8,1802346.6,917117.4,1216837,462209.9,639702.4
docosapentaenoate (n3 DPA; 22:5n3),2699226.3,647201,3125157,928237.2,875138,383942.3,101229.6,213218,982854.3,256746,978762.8,624070.3,702509,206280,230263.5,603241.6,1264313.4,945120.1,979774.1,556834.9,188788.9,666049,661516.3,539532.4,8254107.5,1876338.1,535358.5,677160.3,362808.5,525546.9
docosapentaenoate (n6 DPA; 22:5n6),831840.9,1636973,1867407.9,385995.3,457431.1,108756.9,28616.9,76279.4,237039.3,86618.7,243333.4,210159.4,257540.6,40230.7,72560,272401.1,561403.3,190811.6,274806.4,616404.7,466213.3,381090.1,431663.8,228810.4,1424421,647344.9,608720.6,312653.8,230285.7,255193.3
docosatrienoate (22:3n3),241681.1,239273.2,391231.2,201777.3,124530.5,11579.5,20977.7,15654.4,107064.8,18931.8,133438.8,41172.2,47988.1,,,65615.7,434870.7,116686.4,142460,149619.6,113555.4,221597.6,83101.9,75605.8,2026867.9,217832.6,105256.6,108708,132779.6,30959.5
eicosapentaenoate (EPA; 20:5n3),803969.9,420962,843123.5,376661.3,472921.5,219039.6,233156,202296.1,599092.5,257863.7,742910.2,319468.4,285287.4,260622.7,215249.3,341662.8,522431.1,530334.1,728599.6,313724,321203.7,419961.3,633604,462142.7,1945940.3,720873.3,320395,364886.8,360560.4,242686.3
eicosenoate (20:1),4530082,5330286,3015448,5479440,5987958.5,1589255.5,242218.9,1183449.9,3830870.8,985544.2,1094849,1226078.9,811621.2,483884.1,1217141.5,1592085.3,2354304.8,2874126.3,2909888.3,2522422.3,2991072.5,649507.5,2079761.1,669186.9,8340064.5,1806035.3,1222833.4,1595661.3,1460385.6,1555145.6
epiandrosterone sulfate,,7616.6,,,,12588.2,,,,,,,,15089.7,152895.2,,8711.3,,4277.1,,,,,,,,,,4742.3,7139.9
ergothioneine,275747.2,259600.2,716269.4,368152.7,404967.7,66059.7,33263.1,472183,203666.3,65944.1,719373.6,98129.8,173504.2,99890.8,83098.6,52825.6,289186.8,158919.3,1019218.1,905196.3,1303334,210738.9,299491.2,236460.6,256667.6,555210.9,407908.9,162162,218501.7,205316.7
erythritol,103004.7,143715.5,137688,225870.1,174479.8,,61306,24584,126449.5,43544,281078.2,126054.6,179864.6,100261,25514,95872,157166,85207,218616.8,180069.3,243428.3,115908,175186.8,289839.3,245706.2,144028.7,142797,116104.4,71648.7,142619
erythronate*,482526.2,648934.4,696463.8,987245,1081864.8,50837,19667.5,143394,312044.2,31769,1034103.7,360907,236081.4,71485,112106,120820.9,334427.8,223730,532530,501020.2,516937.6,544938,407877.8,402108.8,441569.6,740576.4,861504.4,781555.4,145386.1,170512.3
ethanolamine,4975423.5,11254267,16774160,3341798.3,8718257,818989.4,222084.2,3586642,2311842.8,392600.2,9840255,1688982.3,3670068.5,368028.5,596960,2968061.8,17484202,7108420,3905140.5,5031702,13402068,9009762,8034644,2022923,9579409,7614060.5,12924390,7536424,8028391.5,3249091.5
flavin adenine dinucleotide (FAD),22054.3,24830.1,50233.3,32335.9,36326.9,3042.4,,12888.6,15226.4,,62484.5,14803.2,8968.1,,5011.8,23460.2,29683.5,46526.1,51231.4,22738.7,110590.7,42594.5,24081.5,43213.2,36596.9,32882.9,24982.8,25942.2,23657,9019.9
fructose,237042,1364541.5,159293,836400.9,1378666,246704.5,292671,166236,304615,118176,295891,125620,529411,332316.9,359600.8,1087873.4,1917150.3,387130,1008635,3079390,1994782.6,3478463.5,464868.4,768319,294080,1934100.6,625784,1074495.1,437836,411231
fructose-6-phosphate,,245583,59162,84861,77704,30160,27201,55653,140807,29355,,65608.7,208236,14099,,1103972,2538671.5,115237,130792,253481,89790,2159838.3,150589,315933,,4198662.5,159788,656128.5,60608,102368
fucose,152907,116200,359469.6,140138.8,136643,,,,95695.8,,205379.4,70569,76414,,,36226,,70459,660587.9,65327,386600,196715.9,218821.9,171942,570144.8,142545,,94038,,129224
fumarate,644039.3,791276.4,1619765.8,1291555,1478486.8,118794,76723.2,881483.7,913771.9,117200.7,1712792.9,591575.2,659389.1,64987,190831.9,657702.2,1370699,1232192.8,1712100.4,892920.3,2034829,2632384,1537605.3,1289925.5,1175910,1621939.9,1610140.4,895127.4,2762342.5,482306.4
gamma-aminobutyrate (GABA),39711,104451.6,90777,59603,90631.9,24686,,35562.2,43879,,187692.5,46004.3,32894.5,,15610.2,65969,79586.8,55720,24784,46892,111305,82923,93674,556290.1,243231,108592.7,97052,40048,65472.2,28204.8
gamma-glutamylglutamate,99813.6,75733.1,162834.6,116572.8,151889.4,52152.9,16775,98708.6,45598.5,30232.9,94124.9,311049.8,60173.7,34143.6,95102,52315.3,169506.4,102158.9,275851.3,334021.1,593535.8,415125.2,96398.5,196760.4,208778,449426.9,132730.6,298357.5,242565.4,76665.8
gamma-glutamylglutamine,118550.5,109925.9,124268.9,99122.4,138599.8,94108.3,88321.5,116666.6,57088.7,157754.2,,270940.3,29175.8,125212.8,119899.9,63148.9,136776.3,128893.2,841073.7,219881.9,254521,167292.7,110316.3,85354.9,222873.8,229912.5,223323.7,178466.5,226642.8,136224.4
gamma-glutamylisoleucine*,58282.6,42808.7,86404,24637.1,41614.5,16227.5,,,14807.1,,39837.5,15356.1,15000.5,,,12442.5,26862.5,,34801.9,25998.4,20468.2,22452.7,22016.4,28672,125093.2,17139.5,43612.2,26618.1,68556.3,20131.1
gamma-glutamylleucine,193323.6,161008.3,282779.6,118617.5,174030.1,29340,16725.3,24750.8,37284.8,29809.2,168674.9,62511.9,71082.3,36824,47149.9,32847.3,102805.1,40642.4,196344.4,123626,68228.2,85286.9,75735.4,68189.2,413718.2,103375.7,182254.9,154952.3,209004.8,90095.1
gamma-glutamylmethionine,34454.1,24315.1,25419,20836.6,40802.3,,,23193.2,,,31437.8,20507.2,25307.6,,12615.9,,40544.1,19327,82042,24723.8,29285,44229.3,29991.4,25614.6,72167.9,46419.7,44781.3,42892.1,43560.9,35811
gamma-glutamylphenylalanine,80915.5,41914.1,94906.7,40556.4,116757,24622.5,16210,21074.2,25302.1,17409.3,72477.3,37488.9,20789.2,22628.3,,,50168.8,,101126.2,55196.8,25083.6,33010.2,44718.9,31659.1,165318.9,39975.1,78928.9,70244.4,118864.1,61760.3
gamma-glutamyltyrosine,37399.2,27116.1,44241.2,24072.5,64448.6,,,10470.7,14569.2,7055.7,33742.6,17087.2,18681.2,14142.8,10960.5,,28256.2,,59809.2,32665,21237.1,23238.7,33519.2,22327.9,81746.7,26498.1,45741.1,42825.7,67880.4,27478.9
gamma-glutamylvaline,83680.5,67518.8,117374.5,43285.6,84840.4,,7913.6,9053.6,21900.6,12541.1,95241.8,24759.3,29389.4,19123.2,14222.4,42520.9,42550.4,18303.4,71939.2,51850.2,22411.8,27401.2,33431.5,35907.4,281914.3,27576.2,73245.7,47621.9,144730,22476.8
gamma-tocopherol,79927.3,,268647.7,72313.2,54667,24126,28996,72246.5,11250,39575.9,72062.5,300442.6,,25562,28653.6,91431.9,142207.8,987721.7,51726,51161.9,18779,62050,95347.7,105532.4,33860,52885,109701.2,99233.1,77105,25551
gluconate,164271,450852,290610,616803,388196,41568,31317,74698,94882,111463,3799618.5,94243,190088,63310,160834,158033,284415,258235,967804.8,248066,1296331,515286,174937,387730,322977,340257,302157,136258,434584,173475
glucose,5680288.5,10159912,459594.4,11492473,4838298.5,27828674,30770842,10823496,17361184,29667188,479148.9,5249420.5,41693448,35644628,45277096,13828557,11195686,1171318.3,8214732,79149816,10634625,16617287,2076102.4,9183670,9008102,10244676,5682077.5,10734554,12165531,28008290
glucose 6-phosphate,109346,1395443.4,301710,1048502.5,452649,361320,125689,581014.2,620434.1,305750,131601,615149.4,758228.9,145469,347333,4478838,8673727,688000.1,631479.3,1924711.1,1145445.4,9680649,537429.1,1999557.1,299850,17707296,1354989.8,3165556.8,383005,1091041.6
glutamate,85354448,69349880,178282688,111574344,151186592,6460707,2310700.8,38634484,36651040,8268960.5,87707416,38910244,46200568,2867545.8,11969779,51029020,138057904,63605176,128586424,106250152,174020960,229738832,80123096,72635736,239790624,134310352,85472344,104624216,149801072,47922056
"glutamate, gamma-methyl ester",3537072,3469973,1629769.1,3654860.8,4677269,23207.7,25473.5,1430192.3,1758799.9,44669,3147375,966390.1,1513402.6,21554,144993.3,1599883.8,3578472.5,2578126.3,4429095,2321388.8,4935159.5,4026455.3,2455707.3,1125497.4,8696436,2757508.5,4464649.5,4071087,2459713,1248795.4
glutamine,2178218.5,4644909.5,3100110.5,4015875.8,3604475.3,2240866.3,2542861.5,2639936,2634600,2668222.5,504573.1,2619882.3,2000950.3,2351550,2977091,1353896.3,1881980.1,3405123,6261175,2885797.5,3079105.5,1950858.5,3402935.5,330665.4,4267517,3362390.3,2371574.5,1728782.5,2043134.5,4560116
glutarate (C5-DC),,7521.1,,21526.9,30288,,,8240,,,22622.8,11165,15310,9903,11129,2200,22516,37375,,16160.2,29707,22877,,,11236.6,23914,4207,,,
glutaroyl carnitine,,,13575.2,60728.8,19845.5,,10496.1,,26985.4,10174,17303.9,18567.2,49736.2,7005.9,21761.4,,14074.6,34650,,21836,,,,,,,16116.3,18547.2,10000.2,
"glutathione, oxidized (GSSG)",2203669.5,3809123.5,,1216856.9,4886093,89068.9,141443.9,3453788,4514902.5,97721.9,6605871,307683.5,2199225.5,30338.5,52525.2,2357378.8,4745252.5,5076848.5,2664297.5,90850.2,7930164.5,6328170.5,4537956,4218245.5,5007742,3052172.3,1647005.6,3147113.8,187622.3,3480460.3
"glutathione, reduced (GSH)",668495.6,2130341.3,16340.9,1483685.8,7898337,20590.2,24953.9,1308409.6,1525579.4,19389.1,15991809,77226.7,82986.5,,10246,448756,4202908,6817792,1764521.6,46669.6,11542012,9474152,3284316,1973318.1,6128627,1556963,1042750.1,1420834.1,101695.1,583822.2
glycerate,324726.1,1394080.4,138611,789961.9,321587.9,217781.2,72160.2,176732,195709.1,117721.5,388310,201300.3,222818,225879,244127,141341.7,146153,175189.7,758563.6,242227.3,460474.6,224326.5,310200.5,211454.4,710280.8,229121.4,332179,433889.1,288885.4,402326.2
glycerol,29061074,25543178,30238252,24076300,21750228,7496142,2939454.5,6741822.5,13484265,10176177,25775994,6699675.5,16028937,8854031,13863974,8755250,18577506,13342743,24465188,14755784,18306172,20335028,14750276,16193142,57539668,15951626,14679391,15384993,14249779,9000739
glycerol 2-phosphate,115260.1,222688.3,556671.8,144376.4,301475.9,22637,,104538,98368,,340041.8,106470.8,87692,,,61107,340748.1,485014.3,741142.9,212518.7,132112.1,775733.8,134880.4,1323455.5,361738.8,253209.9,100008,190674,149952.8,54851
glycerol 3-phosphate (G3P),2214229.8,3714293,12514115,4466516.5,7744204.5,365360.3,359744.6,5412317.5,1843810,206396,8453417,2304646.8,4170272.5,188137.3,270807.6,308695.3,6892611.5,12255762,10991369,9089158,3184193.3,15763878,2036353.8,26818986,4370856,4861348.5,1504357.4,6151921,3082245.5,1110521.6
glycerophosphoethanolamine,46054,54362,227044,117844,58495,,,,60865,8003,81578,,,,,,126734,,1794516.4,68058,,,,,309758,22384,50792.3,480218.8,31273,
glycerophosphorylcholine (GPC),2680835.8,6040071,13142266,4120302.3,6050449,579625.4,763984.3,5902137.5,1650784,286511.5,8164569.5,2938861.8,4007665.8,303044.2,380276.2,385036.4,7057378.5,13534818,8470350,3025084.5,1474045.4,14442443,4004657,17284104,3492115.3,6386190,969527.8,6232278,3091346,1356970.3
glycine,54802856,80332816,205625216,106477816,99765192,5861850,1990913.5,14739921,46463736,6621925,95638008,24040872,29027062,2814172.8,8534710,21873450,93928608,39477772,174533936,67216736,147297648,78095464,61185408,46863792,288413856,73003176,115614760,64947676,109130360,50830356
glycochenodeoxycholate,5074.9,28716.3,18751.1,5724.1,64417.3,123780.3,97567.5,17705.1,16393.7,69756.3,,19888.7,59062.8,33800.2,358492.7,4504,75159.8,8216.5,6482.5,5163.3,,,6795.1,27103,,,3898.1,11844.6,12313.3,13349.7
glycocholate,4677.9,5608.2,8366.6,,16704,9967.3,10674.5,,5175.8,7115.6,,,46283.3,11566,160525.9,,13444.2,,,,,,,7489.3,,5198.2,,4858.1,,
glycolate (hydroxyacetate),71322.4,91283,119610.8,92257.6,264592.9,119387,178322.5,143274.8,197990.6,170731.3,144186,94728.5,101046.9,226102.2,180203.3,158844.5,328888.9,126880.4,76056,407738.7,362334.2,264351.8,87305.1,139233,219738.4,250738.9,203177.5,283412.5,256414.7,181259.7
glycolithocholate sulfate*,5955.3,3495.1,2440.6,3213.3,20715.9,6703.9,12018.8,8219.8,10229,4312,4288,5178,6671.2,10062.6,36605.9,4711.5,12552.3,2412.4,4108.5,9301.5,,,,,,,3924.5,13910.7,,5429.2
glycylglycine,,19407,23468,21353,36909.1,14005,,,,6106,90092,,,,12592,28408,,24230.4,42465,44131,7399,24057,23637,12610,62847,34711.5,,29588.4,,
glycylisoleucine,19709.9,45449.8,27292.7,37605.9,24764.8,7883.9,,,15953.8,,39107.9,16825.7,,,,39198.1,28531.9,12639,26386.1,22581.4,32054.1,24490.6,18929.3,12144.8,100030.7,22012.6,15084.2,14401.5,19263.8,13479.4
glycylleucine,180504.3,608976.6,140518.4,308460.7,263950,29920.8,,28038.5,55885.4,,156271.6,67495.6,48681.2,,4971.4,567569.6,300849.7,135464.1,266094.9,66604.1,58257.7,106344.8,204758.3,55893,923268.3,183687.3,97974.6,119191.1,51449.3,26379.8
glycylphenylalanine,8272.2,11114.2,5637.5,9369.8,15764.4,,,,,,7534.3,,,,,6264.3,10309.6,,9831.7,3496.6,,6749.8,10107.6,,18702.7,5076.2,5629.1,5906.4,,
glycylproline,23775.7,75431.6,57388.2,25447.4,50762.1,42925,,36338.6,11326.6,22911.9,23552.5,15611.3,,15027.7,15424.3,36382,28637.2,28521.2,30284.8,20793,,17600.8,67387.6,32909,62209.4,33702.6,18742.8,22198.4,32347.6,19243.3
glycylvaline,17699.7,44009.1,31331.3,34539.4,33915.7,16928.7,10536.2,13287.5,34925.1,,26379.1,18530.8,15867.3,,12594.9,14083.4,33923.1,,32471.1,12641.1,,17402.6,48196.6,18775.5,44261.5,19335.6,23184.9,23088.4,21031.2,22418.7
