,DUKE-00650,DUKE-00651,DUKE-00652,DUKE-00653,DUKE-00654,DUKE-00655,DUKE-00656,DUKE-00657,DUKE-00658,DUKE-00659,DUKE-00660,DUKE-00661,DUKE-00662,DUKE-00663,DUKE-00664,DUKE-00665,DUKE-00666,DUKE-00667,DUKE-00668,DUKE-00669,DUKE-00670,DUKE-00671,DUKE-00672,DUKE-00673,DUKE-00674,DUKE-00675,DUKE-00676,DUKE-00677,DUKE-00678,DUKE-00679
2-hydroxystearate,99968,90569.2,99255.6,95944.3,130275.2,47656,50378,38000.2,78391.2,51824.5,145480.5,32438.6,487487.7,47345.4,64915.3,45965.5,52168.3,86379,36240,72638.5,119879.9,57902.1,64337.6,29312.7,159670,38066.1,44965.9,71476.5,59971.2,184189
2-linoleoylglycerophosphocholine*,360987.9,790193.1,65017.5,299845,489323.2,436455.1,267571.3,274426,253597,28002.9,618213.4,257473,304707.7,303360.5,218315.8,356815.7,152303.4,444972.5,221184.7,184081.3,812005.2,141029.1,1174261.6,390851.4,,117480.6,223454.7,620909.9,32853.5,291253.2
2-linoleoylglycerophosphoethanolamine*,86090,26842.3,30760.5,39338.7,75269.5,10370.5,12634.6,17986.6,31292.4,9857.5,52141.8,10385.2,15395.8,9105.5,14467.1,4876.7,7273.4,13289.1,43489.9,15115.3,17968.1,25909.4,23514.7,10206.1,23088.3,19889.3,43017.4,22720.9,8326.6,13109.3
2-methoxyacetaminophen sulfate*,7636.9,,6610.6,,,,,,,,,16326.3,7582.7,,3287.3,,,,,,,,2466,,,3106.3,,,,
2-methylbutyroylcarnitine,484147.4,98428.5,1291518.5,168772.7,259016.9,29972.6,23173.6,44955.5,98994.8,46305.6,2039199.4,92384.6,34080.9,43863.7,102264.4,411400.1,1733840.8,396691,104481.1,75614.7,155162.6,27994.6,259561.2,224385,151277.3,438846.1,520129.7,52221.5,696041.5,121463.4
2-methylmalonyl carnitine,25143.4,15967.2,69571.8,52924.1,40063.8,10691.5,,21982.8,33166.5,,29372.8,21718,19980.6,12674.8,31131.2,14652.3,18769,,35932.7,28599,141436,16470,14473.4,26450.3,19562,17173.1,32324.2,32342,,27214.5
2-myristoylglycerophosphocholine*,67370.4,104566.3,,32037.5,27074.3,49281,27094.6,,,,37265.5,26496.6,,,,32843.5,,,56388.9,,,36256.8,28793.7,97748,,25285.1,50803.3,43857.8,,
2-oleoylglycerophosphocholine*,709490.4,1473164.1,89759.7,515665.3,388348.6,399910.2,305800.4,310226.4,377621.1,173072.9,229905.2,262388.1,282339.4,329327,165193.6,753425.3,203893.5,288189.6,479865.8,197383.1,872824.8,253024.1,1171985.4,1080845.5,543911.8,122837.4,943126.8,1165582.1,99244.7,233196.5
2-oleoylglycerophosphoethanolamine*,102656,78369.6,80851.3,69782.9,135935.9,13051.3,,16262.3,109164.5,4315.5,32928.5,34350,12883.8,,9110.3,24913.5,34933.7,37060.6,125680.9,27960.8,29733.6,61597.9,76015.4,14811.1,120468,28538.2,112958.1,57669.2,32058.9,49254.3
2-oleoylglycerophosphoinositol*,67519.1,19485,23273.7,24707.1,21585.5,,,10371.1,11776.7,,9257.3,12659.1,,,,13405.7,,21073,73946.6,,43255,17295,7019.9,14421.5,57863.6,9316.6,,12289.4,,
2-palmitoleoyl-GPC (16:1)*,227142.5,494867.7,,,79385,86949,52711.5,,,,64754.2,,,,,143512.4,100332.8,,134667.4,,124634.7,,537038.5,377364.3,73712.2,26797.9,562793.4,248416.8,,16845.4
2-palmitoylglycerol (16:0),87976,166495.4,133008,149072,83536.8,,,,,53918,144409,,,,,,241102,83675,,,,,81369,93191,163648,113418,96016,79051,,
2-palmitoyl-GPC (16:0)*,490863.9,912295.5,32564.9,281066.1,143413.5,357551.3,868403.3,360632.8,269387.5,182056.9,220615.2,970390.3,457597.9,990395.4,320353.9,617953.8,197586,269845.8,308832.2,242707,515345.2,186088.2,1124625.8,966190.6,281917.7,100441.1,418471.2,599092.8,123493,396289.8
2-palmitoylglycerophosphoethanolamine*,12219.7,28146.6,40139.9,,20777.5,,,5324.8,20893.1,,6137.7,,5647.9,4681.3,5738.7,12654.6,,14864.1,24872.2,7826,,10718.1,30079.1,8904.3,16849.9,4139.7,21568.3,30802.8,4515,12337.1
2-stearoylglycerophosphocholine*,72725.5,417296.6,,80625.6,54444.6,103741.8,251426.2,237652,113750.4,75205.7,,573860.9,156757.5,279453.1,122948.9,226894.4,34053,173538.7,127699.8,82986.3,699792.9,42124.2,298275.3,132358.1,94904.4,,187304,140750.4,36055.5,226977.9
3'-dephosphocoenzyme A,,,13983.5,4386.7,9802.4,,,,,,42833.6,,,,,,11630.9,10811.2,4639.9,,33691.1,33510.2,3925,2523.7,12912.8,,6995.4,2832.8,,
