,NCIA-01751,NCIA-01752,NCIA-01753,NCIA-01754,NCIA-01755,NCIA-01756,NCIA-01757,NCIA-01758,NCIA-01759,NCIA-01760,NCIA-01761,NCIA-01762,NCIA-01763,NCIA-01764,NCIA-01765,NCIA-01766,NCIA-01767,NCIA-01768,NCIA-01769,NCIA-01770,NCIA-01771,NCIA-01772,NCIA-01773,NCIA-01774,NCIA-01775,NCIA-01776,NCIA-01777,NCIA-01778,NCIA-01779,NCIA-01780,NCIA-01781,NCIA-01782,NCIA-01783,NCIA-01784,NCIA-01785,NCIA-01786,NCIA-01787,NCIA-01788,NCIA-01789,NCIA-01790,NCIA-01791,NCIA-01792,NCIA-01793,NCIA-01794,NCIA-01795,NCIA-01796,NCIA-01797,NCIA-01798,NCIA-01799,NCIA-01800,NCIA-01801,NCIA-01802,NCIA-01803,NCIA-01804,NCIA-01805,NCIA-01806,NCIA-01807,NCIA-01808,NCIA-01809
1-palmitoleoyl-GPC (16:1)*,,660809.3,265989.2,,95491,,238483.8,119336.8,114580.1,,,,,880137.3,,941401.4,5295374,147418.2,1893203,161019.6,,507650.9,350207.9,2654352.5,408504.7,641408.6,396186.3,,162140.1,,,163894.3,203890.8,,,,322734.3,321521.7,2104350.8,,,196000.1,212563.6,51590.6,3716540.3,,,999555.5,3207100,,,291678.7,,,294048.1,,,,
1-palmitoyl-GPC (16:0),289558.6,9273572,7510649.5,266220.7,,541350.7,9951222,5951749.5,280199.3,301447.3,1234263.8,2163097.8,672477.1,39095128,1095087.3,10434672,65440316,4634603.5,6582628.5,5293689.5,3678464.8,21080232,11603055,7220444.5,595189.7,13061010,4043054.3,15663.1,19760770,3388229,39884.8,3845976,13196574,566197.4,49833.6,,11816187,26190628,6644462,101149.2,,609997.2,3506704.8,585149.6,91533016,483228.2,9278125,10971380,7923910,187964.7,162270,3674216,173912.7,274966.1,6037333,,595422.4,,127844.8
1-palmitoyl-GPE (16:0),577479.3,979288.4,550508.3,340246.1,21260.4,18054.2,917847.8,569352.5,421734.9,190944.6,71613.7,34339.3,41309.2,672555.4,981621,864063.3,2900150.3,336247.8,1904134.8,983491.1,190517.4,605316.2,627845.6,1939430.8,113248.3,655978.3,259962.6,28451.6,1512597.3,564697.2,74046.9,364910.3,446018.9,83067.6,15581.3,13509.2,1526258.9,1255104,1035229,124340.5,63742.6,31396.4,37874.9,35370.7,2180227,49600,694853.4,1299281.1,1407506.6,21759.6,9367.4,204070.4,30733.1,66029.8,336247.8,283247.1,121490.8,,132404.8
1-palmitoyl-GPI (16:0),1239361.4,133929.6,119163.2,26622.9,,,2108648,996425.6,1064544.9,227971.2,269699.3,212020.7,22465.1,1243369,1204319.6,492561.7,7925510,,3863706.3,480997.1,160407.8,170776.1,2222280.8,4334270,,214992,35248.2,5715.8,2444811.5,149291.4,9783.9,43694.8,52574,48738.3,4460.8,,836333.8,1844078.6,1768227.3,17095.1,16708.1,24048.5,8715.8,11025.7,6076625.5,33194.4,2266374.8,1680767.3,1979489.1,,,30288.1,,21562.2,91998.7,25629.6,38372,,11757.8
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,3342292.3,4109692.3,5364583.5,1785019.6,54934.7,161190.7,6588031,4285800,3071828.5,2440796,1435250.3,1088978.4,222652.8,6640255.5,7220526,6459473.5,23139776,1939665.6,14004801,7629538.5,1283893.6,6511236,6290679.5,13466940,391423.3,5004688,1539195.4,167036.2,16937742,4277617.5,219107.4,2532461.5,276881.9,513053.3,104378.8,129809.7,13956673,13415942,7887225.5,896006.5,340096.9,136475.1,172636.8,142468.6,25743684,381529.2,8599655,10376141,14320112,72279.1,32742.6,1171750.1,131983.3,454351.4,2805541.3,1630373.8,790302.2,242388.7,650791.8
1-pentadecanoylglycerol (1-monopentadecanoin),161018.5,,10800.6,,102283.5,59394,72137.5,72296.9,291216.5,39990.8,43155.5,,163573.3,30775.9,61106.4,,,,,,72137.5,,31143.4,,27958.7,,16574.5,,,52422.9,,,,,251782.1,,,,94267.5,,,,125573.4,292250.6,59811.6,,148640.1,,13513.4,,,,76842.5,,,,,88863.9,
1-pentadecanoylglycerophosphocholine (15:0)*,,85685.5,180173.6,,,,274926.5,155776.7,,,,,,356942.5,,564448.6,2594841.8,,2729750.3,133256.3,,131953.6,287772.3,1454308.8,,,54250.6,,180173.6,,,113186.2,,,,,302694,78711.4,1822630.4,,,,61087.9,,2785344,,149120.5,658039.3,1876205.3,,,,,,111673,,35984.7,,48765.1
1-stearoylglycerol (18:0),3232199.5,102366,161717.9,11949.4,483774.3,375294.6,1385984.8,2239264.8,4318464.5,746341.4,999549.3,276244.7,794327.3,613165.3,1052421.4,196121.6,594056.2,26566.4,740711.7,133712.4,1080430.5,136125.8,550894.1,613777.1,736220.3,,113337.3,92398.7,230707,369313.4,,98810.1,53873.7,48492.5,990506,,161800.8,261786.2,876279.9,10305.4,,21286.9,372304,1401441.8,975356.6,37536,3546917.3,586153.4,313440.3,,,46051,535578.6,,18589.4,29866.9,192227.6,1135524.1,
1-stearoyl-GPC (18:0),,7329332,6201847.5,370661.4,,225933,5805354,3274294.5,,253244.1,1092771.1,2159709,246878.2,13245884,482149,11485372,51475112,3391302.5,24805900,7243991.5,908333.1,10214061,8276901,25540532,311444.8,11606271,2960240.3,69841.5,8104047,911640.3,92298.4,3558097.3,6065069,332660.3,,,7377555,15936799,17121862,88384.6,,354320.3,3198613.3,263793.6,57282872,254047.3,3198613.3,15763825,23466564,,283530.6,1613695.1,205687.9,168835.2,4971602.5,,328918.6,,224151.3
1-stearoylglycerophosphoethanolamine,1942311.1,4541930,1854641,1302679,48373.2,156743.2,2196972.3,1493478.6,1578131,1610336,519480.9,289407.1,195999.5,2028604.1,2654228.8,2455249.3,9930914,1357908.6,5146704,3266580,1029377.4,2692830.5,1830177.8,4366461,469851.3,2839987.3,1039432.9,134880.2,6644093.5,2425313.8,115541.6,1461814.1,1214653.4,381370.1,85289.4,109073.6,7960675.5,5478994.5,2401244.8,481499.2,416270.4,144925.8,88935.7,90556,8525816,280242.1,2141760,3185293,3557161.5,72623.3,22014.6,836617.1,210471.2,410161.6,1290587,1223265.4,424114.5,280249.2,461057.2
1-stearoyl-GPI (18:0),3292128,743416.8,1339252.9,526082.1,,18511.8,9524100,6416338,3722491.8,1345102.4,2852197,1948298.4,111242.8,3749720.8,4541388,3306812,18569764,157964,15116168,4945713.5,852319.1,939702.3,7459710.5,16017775,129134.5,1530798.6,410790.2,69041.5,8301442,953901.8,67841.9,658905.1,215867.1,411763,38440,90143.8,4417252,8250358.5,6774149,311986.8,157020.8,101350,153249.6,147453.4,9030539,162911.6,7265136.5,8845172,11835081,84613.1,38828.7,165750.5,43084.2,223111.3,743416.8,227285.3,286189.2,54218,176313.8
10-heptadecenoate (17:1n7),1865422.4,940670.5,2000830.9,1061310.8,1142313.8,353598.3,1798151.8,1476470,1343654.4,2254644.8,835490.4,629810.4,989888.3,2310565.3,2153603,1587990.4,1739948,348695.3,1584827,1248028.5,709955.1,2688185,2022243,1584036.1,1214263,513837.5,956741.1,1175513,1882389.1,3378006.8,399413.6,742883.2,911748.4,428588.4,972460.8,875517.3,1316941.4,1208712.3,2024928.5,2139870.3,691685.6,289380.7,1425576.6,615392.4,3856333,691133,2683611.5,1794225.8,1332923.1,203527.6,425223.4,1286994.6,712151.8,283744.2,661253.5,792924.8,961202.6,1253406.8,792252.7
10-nonadecenoate (19:1n9),2102569.3,553447.7,1788917.6,295350.8,686954.7,201014.3,1934052.8,1428082.1,1180108.1,3230000.5,760088.5,662476.6,488011.8,1993675.9,2598328,1609206,1510279.1,156854.2,1402482.4,596651.5,748736.8,3210840,2040011.6,998818.9,911983.6,440593.3,700012.8,1223169.6,1645030,3936391.3,498638.2,902513.9,356149.2,184665.6,698761.9,144480,1489365.3,1353665.5,2375129.8,787830.9,630260,273775.1,1648944.8,478157.5,6636566,737074.1,2577472.3,2257655.8,1136197.3,92598.9,175787.7,826925.1,745878.6,151741.9,485931.5,409846.9,617414.4,1408444,349421.1
13-HODE + 9-HODE,1122353.1,105693,448939.5,354494.4,1601786.8,483252.4,611526.8,639400.6,669737.8,1238689.5,1014354.3,4798619.5,2238948.5,533837.3,498449.9,363545.3,985852.2,136238,472456,237086.3,556089.9,376271.8,530741.5,546895.6,2377300,203233.9,545485,638220.5,237170.4,728892.9,475036.1,464824,632266.6,46822.3,780966.1,57891.2,250030,279036.8,509626.1,213659.5,260898.8,217841,3321308.5,954060.4,456324.7,466819.8,1218302.4,428653,340681.2,20850.9,92792.5,521819.8,1065766.3,50023.8,206592.3,268535.2,315758.6,491717,55976
(16 or 17)-methylstearate (a19:0 or i19:0),574663.9,67891.3,180086.9,45138.4,114240,60429.4,276097.1,202353.3,228006.1,567324.1,115130.4,91564.4,86189.7,225614.4,268368.8,142269,228712.6,46718.9,195243.2,66897.6,118341.7,371029.2,205305.9,151201.8,230025.8,44864.9,93445.5,138241.4,162262.4,329381.8,72522.7,131771.4,58567.2,46436.2,64789.3,40649.6,154399,153825.3,232656.5,73430.1,77526.3,38930,117451.3,42635.8,618471.6,60272.4,410978.5,271906.2,162851.9,30105.6,,108920,106605.1,29262.6,55342,76076.7,83771.3,181635.6,19006.9
2'-deoxycytidine,146006.7,,,,,,398745.8,201097.1,409507.3,,98766.2,,,43986.4,83164.2,,,,113701.2,,43237.5,,92582.5,94996.5,,,,,,,,,,,,,,,70731.3,,,,,,22075.3,,150927.5,,85297.6,,,,,,,,,,
2'-deoxycytidine 5'-monophosphate,129429.7,,114865.1,,24514.2,30946.8,189049.6,193740.1,461831.4,230385.4,162615,25588.3,90581.7,143101.7,141286.3,28509.4,54187.7,,227700,54820.6,222666.3,72542.6,76579,135078.6,66271.2,80615.5,,,,,,,,,52947.3,,,,56080.9,,,,,,,,40523,,17002,41264.2,,,43333.7,,,,,,
2'-deoxyguanosine,3172829.5,144268.2,335601.4,22773,160042.8,434018.9,885054.3,1113783.1,7085362.5,1996111.3,707947.7,327041.6,714058.3,2000053.6,534613.4,215338.3,1146802.9,,995296.4,200391.3,2531788.3,1303898.4,277777.3,467010.2,964613.1,371574.8,37730.6,28574.5,83569.9,114663.9,,,58289.4,,104907.2,,105833.8,187006.1,263419.5,,,47370.5,,26949.8,207864.8,55652.6,1832185.8,49035.6,175058.1,59374.8,,,41902.2,65534.9,11247.5,,24569.1,134473.7,
2'-deoxyinosine,543554.1,37514.7,63149.1,5764.4,22111.7,120901.5,155053.8,200030,1441091.9,602569.2,129600.7,61077.4,127485,354983,85744.8,30407,244871.6,12681.6,168178.2,41664.4,456128.6,207171.2,39808.1,69448,201745,90619.7,5644.2,3013.8,14754.6,30839.1,,3695.6,16999.9,11164,10695.5,,27039.3,26508.9,31271.3,,9958.1,,,2902.6,28947.7,10008.1,286598.3,6434.3,17706,12342.4,,11702.8,7648.6,,,,3015.2,9870.6,
2'-O-methylguanosine,6557.9,12907.6,8401.5,8110.5,5808.8,21567.8,5807.1,,11327.8,6134.3,49761.5,32937,,8401.5,14790,8556.7,8958.6,,15438.5,6603.8,7268.5,4286.5,,,6344.5,9267,7196,,,,,,9490.3,,,,,,4288.2,,,,,,9995,,5897.9,,,,,,,,,,,,
2-aminoadipate,50952.2,46146.5,70991.2,109335.4,12229,53881.1,33018.9,40276.4,20067.3,36552.9,123911,66858.5,,57652.6,40819.6,24383.3,66609.4,36584.6,91159.7,,33538.4,49060.5,24248.6,54200.7,25744.2,,34590.6,31367.8,45109.9,74489.5,13903.9,38450.4,26974.2,33312.4,31209,,61181.2,76807.3,80967.5,33746.8,41092.2,13758.8,,14138.5,30169.2,15918.9,38305,213388.3,38305,22313.4,,,39362,23282.1,10682.8,61599.4,22563.6,43288.8,10212.7
2-aminobutyrate,508747.6,458108.9,475783.8,275289.7,77838.9,369070.2,601598.3,447893.3,822916.4,163239.5,860823.8,434448.9,122384.9,598410.8,647391.3,215575.8,490944.6,180706,660885.3,193724.9,528645.4,444398.1,652620.6,858160.6,862248.5,952830,409598.2,192178.6,631755.3,685971.3,156765.9,498998.3,341123.1,421007.2,934797.8,515143.7,806916.9,938044.9,1071927.1,797947.6,312293.2,273600.5,121306.9,757454.3,2659812.5,650619.9,190159.3,451253.5,249124.4,486150.5,132281.6,241039.2,202845.4,389191.3,330696,399395.6,497749.3,315153.7,350136.3
2-arachidonoylglycerophosphocholine*,,305723.8,224214.3,56256.2,,,,,,,,,,,,462302.6,24415.5,490662.8,,72710.4,,110308,,156644.9,,228190,418908.6,,,,,92133.2,2403491.5,,,,,,369438,,,,,,489908.4,57285.5,,217406.5,1067360.6,35390.4,92221.9,145861.4,,,137389.9,,,,
2-arachidonoylglycerophosphoethanolamine*,306016.6,2074239,1151080.1,478340.1,298583.8,370195.6,218218,209849.8,472039.4,613058.4,247586.5,296517.9,446023.1,267160.3,,,265877.8,2379843.8,320168.8,445826.3,259389.1,1007006.1,29363.1,379468.5,253272.7,742433.6,1596453.9,225008.7,715149.1,246098.3,315702,961847.9,5651150,262228,300812.6,357184.4,,185391.3,292314.3,269459.9,94061.6,134671.7,166698.4,228366.2,294886.8,300812.6,269894.5,315765.3,243530.7,202685.2,575126,965318.1,262594.5,390035,723316,547114,258103.1,199140,571896.4
2-hydroxyacetaminophen sulfate*,,,,,,,,,,,,,,,,,,,,,,,,,221051.8,200803.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-hydroxybutyrate (AHB),178561.6,219628.1,259142.2,235560,36574.2,202702.8,288237.3,143932.3,115917.2,59564.1,294690.4,376827.5,,175757.6,184732.9,65034.8,235458.9,265060.3,263713.3,210777.6,76642.9,176476.8,115915.3,217215.4,308277,634916.7,381364.6,123866.5,353246.7,392919.7,82751.7,310879.5,187138.5,324322.9,106659,542333.9,310293.5,281009.8,350924.6,770452.2,257211.9,289278.9,,129690,229344.5,466007.4,39607.3,130513.5,61287.7,213996.5,123928.9,151130.4,60695.1,179333.8,57676.3,212272.2,219189.4,75906.9,419551.3
2-hydroxypalmitate,94130.8,480280,161967,159920.5,42822.9,55700.9,189167.7,116807.4,97120.9,100462.5,96402.8,102420.2,44417.7,212583.7,172092.9,160828.9,477373.1,189128.5,703843.3,292761.3,81687.5,274796.9,147775.1,573869.5,78493.1,100581.1,124774.5,100335.7,415659.5,139119.5,149874,77111.6,318986.9,203802.2,54712.6,147566.8,200551,147688.5,163005,140591.3,308182.4,260023.1,56508.3,61970.1,244162.6,147445.1,164841.9,357163.2,397431.2,103674.5,39156.5,138696.2,37508.7,101462.8,100261,185836.9,123463.5,78674,206330.6
2-linoleoylglycerol (2-monolinolein),690101.4,,7233.7,,172939.7,33458.9,222074.1,748793.6,654401.7,28534.1,,51956.3,118610.5,8387.3,337232.8,,,,26766.3,,122628.3,4968.2,117769,34001.1,13096,,16630.6,,,7701.5,,,,,642807.2,,,,117713.1,,,,464991.3,1344910,,,242635.5,48008.4,20149.8,,,,248158.9,,,,38801.2,117713.1,
2-linoleoylglycerophosphocholine*,,141477.3,126245.5,41376.5,,,,66550.8,,49359.3,,34303.8,,,,505827.3,218369.4,126245.5,444292,,,231342.6,91120.7,253273.3,,,254662.7,,,39793.5,,,1841106.6,,,,62050.9,,209675,,,,,,64974.9,,,732985.2,1416068,,39980.7,,,,88254.2,,,,40330
2-methoxyacetaminophen sulfate*,,,,,,,,,,,,,,,,,,,,,,,,,83337.2,134901.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-methylbutyroylcarnitine,138348.1,181910.6,224159.6,151600,,57385.2,237663,184920.8,56906.9,161429,200908.1,187175.3,29646.5,148266.1,152771.1,187390.3,154848.8,105918.5,257770.4,125232.4,263620.1,201175.6,111881,69911.1,282177.9,673842.4,331133,103573.5,249010.3,144475.8,48553.8,435699.5,88344.1,163195.5,170087,224225.8,194088.6,156014.9,205813.7,183051.1,140254.8,744880.3,,116368.4,291767.2,644596.1,60330.4,451972.1,99040.6,268323.9,83397.1,56445.3,127569,180464.2,98623.7,224788.6,127318.1,74225.7,148591.7
2-myristoylglycerol (2-monomyristin),728920.6,,,,439607.5,104696.7,270097.7,518887.1,1271354.9,70065.7,90268.1,32284.3,218996,66242.5,195730.3,,,,48455.9,,112878.5,,77937.1,51064.2,58716.7,,27514.2,,,53388.6,,,,,523658.4,,,,180451.1,,,,307367.7,922429.9,50023.9,,534878.9,62652.9,45805.5,,,,135489,,,,,130787,
2-oleoylglycerol (2-monoolein),1258080.6,,24229,,345615,92103.8,329276.7,1329019.4,1296086.1,87579.1,235056.1,86344.4,284675.1,54471.1,528493.3,,,,35704.1,,295004.2,21629.7,186911,84090.4,70247.1,,58749.6,,,34426.6,,22804.3,,,1569058.5,,,,282825.6,,,,914201.6,2300922.8,16432.9,,448404.1,66777.2,53898.8,,,,328046.9,,,,42918.5,281718.1,
2-oleoylglycerophosphocholine*,,296170.3,216469,,,,145501.5,50099.5,,,,87553.2,,256032.6,,765463.8,410454.8,216646.8,590865.4,102629.9,,164403.2,276209.8,702455.3,,140859,256210.4,,,,,129124.8,807839.6,,,,58810.8,,1042310.2,,,,,,555553.5,,,908908.6,820996.9,,,29323.8,,,185193.2,,,,81046
2-oleoylglycerophosphoethanolamine*,,123478.3,79933.7,50560.6,,,126450.6,22495.5,,,,,,14722.8,135921.1,143899.4,157772.7,68112.7,215754,134149.4,8839.8,54524.4,38723.7,248652.7,,32549.4,54102.3,,42809.4,27902.5,20967.5,46507.3,234571.1,163433.2,,26367.8,80439.6,55233,122679.2,39362.3,44585.6,53680.2,,,131296.6,15044.5,10877.5,202997.1,119851.4,34360.5,22821.9,30073.9,14991,173865.8,60800.5,88450.3,13998.5,,37996.3
2-palmitoylglycerol (16:0),12111007,41056.3,394764.4,,3279120.5,884471.8,4723119,7353379,12489374,1511681.8,1285724,552427.9,3840256.5,2026095.6,4166243.8,602165.9,488763.7,,1100003.6,81371.9,2068998.5,532350.3,1279256.1,913097.3,1677835,56669.3,699431.8,180296,342996.5,917382.3,51221.8,344609.2,,,5953449.5,,735156.7,343013.4,3523896,94523.2,,,3586363.8,13016976,947861.4,,9107205,1714462.8,947861.4,,,136387.2,1928857.4,,212203.7,,374956.7,1930542.6,
2-palmitoyl-GPC (16:0)*,,369050.3,955805.8,,,50422.8,687528.1,229273.4,,,124734.7,274373.4,,1910527.5,,2108722.5,11915755,353506.3,5697397,111588.2,98492.3,889556.1,1712001.3,4577511.5,,548435.8,442919.9,,516789.7,135833.6,,204282.7,1973312.4,,,,284999.5,852255.9,4425967,,,,424173.6,49901.2,14291263,,236489.1,3599258.8,5137380,,51811.5,250131.9,,,321451.3,,,,
2-palmitoylglycerophosphoethanolamine*,51103.8,129931.1,66276.9,29316.8,7011.9,,58100.5,40198.3,21841.4,25806.7,6188.5,,17512.8,62479.7,97975.8,74792.2,185258.9,36992,145183.2,35480.1,12970.2,73110.2,36704.6,147307.8,12889.5,53032.8,32701.9,,95648.4,67458.2,19116.8,34419.4,85342.8,18997,,,145188.9,85288,76523.4,20403,21748.4,14475.1,,,156131.5,,56127,94293.3,112257.9,14902.3,,28897.6,,23059.6,36992,35287,18449,,11442
2-phosphoglycerate,,,5585.9,19670.6,,,,,,,,,,,5744.1,,,,,,3988.9,20933.9,,,,,13550.6,,,17929,,18440.9,,,19811.5,,7478.5,,,17897.7,,7194.9,,12313.9,,13382.9,,,,,,,,,,,7432.1,12932.2,8697.9
2-stearoylglycerol (2-monostearin),430620.3,,24829.6,,54159.4,17912,258663.3,371218.5,292448.7,47409.8,54188,,52990.6,60855.5,191427,29424.3,,,59287.6,11196,72856.3,,50276.3,55535.9,51427.2,,,,,,,,,,78628,,,,99205.3,,,,75656,152378,57719.6,,356805.4,75318.7,25347.5,,,,47671,,,,,67711.1,
2-stearoylglycerophosphocholine*,,168766.3,300839.8,,,,285398.1,226303.2,,,,136969.8,,456505.7,,697514.3,3092585.3,123451.8,1872730.8,156398.7,,383818.6,715882.3,851272.1,,298375.8,187500,,248852.9,,56892.7,235408.1,,,,,197569.7,484063.4,1516940.3,,,,185037.5,,3638139.5,,58057.4,1029731,835261.9,,,51690.7,23778.4,,261830.5,,,,
2-stearoylglycerophosphoinositol*,166181.3,64513.2,52057.2,16545,,,435588.3,302898.1,212824.8,97464.7,92671.6,77311,,319644.7,168676.7,172608.2,1748417.6,,649650.7,173421,54194.9,68213.2,319402.3,720663.1,,108990.9,15860.6,,817366,,,32850.4,,,,,171172.1,797840.8,352972.9,17411.5,,,,,950153.2,14134.4,457864.1,312317.6,526939.6,,,,,,39244.3,12579.3,7944.7,,3313.1
3-(4-hydroxyphenyl)lactate,11753,26668.6,69584.2,32565.3,6583.8,25759.8,24571.6,24147,25074.4,37824.9,51963.5,23512.2,,28266,23881.1,29383.3,19831.4,14688.5,27484.7,13617.4,28818.2,28322.9,12344.9,21663.3,409302.7,475161.1,50811.1,20985.8,28140.3,40020,13579.7,56032.5,32845.8,38778.9,16461.5,34631.4,47539.3,40251.8,41346.2,108877.7,24598.2,76743.4,9003.9,19762.9,13918.6,75798.5,5922.2,55402.7,10620.2,10700.4,46310.8,14167.1,22543.5,27484.7,53394.9,18611.2,27498.9,18544.2,29591.2
3-(cystein-S-yl)acetaminophen*,,,,,,,,,,,,,,,,,,,,,,,,,479930.7,764753.6,,,,,,,336279.6,30231.7,,,,,,,,,,,,,,,,,,,,,,,,,
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),15425.4,28422.1,17472.2,29691.6,,,,,,,,,,,6015.7,9503.1,,,,4698.9,14080.7,13846.6,,,4036,,6128.8,4504.4,7836.6,13347.1,,,,,10057.7,17136,11299.7,7823.4,18869.3,31352.5,18062.6,20463.7,20097.2,36328.4,12714.5,70808.7,,,,4604,,,,,8230.8,,4328.6,,23720.5
3-dehydrocarnitine*,222435.2,387264.3,1189111.1,618990.3,201615.5,1086021.5,511990.9,317561.5,455689.5,301685.1,638228.4,424483.8,127450.5,821797.8,554241.1,415876,541369.3,412112.2,791886.1,280721.2,955853.6,1011968.3,491625,535443.8,180430.9,287658.5,497741.8,173858.3,1500566.1,1181867,116248.1,528987.8,595698.3,708974.4,547673.1,321291.6,2610589.8,2698296.3,705166.6,749488.9,260214.9,333526.6,102693,568783.1,732809.3,384364.9,260381.9,295281.2,150851.8,344828.6,321913.4,170676,218819,541677.8,126577.4,232459,241489,436855.5,257974.2
3-hydroxybutyrate (BHBA),340067.3,804684.8,1900748.5,1921151.1,161390.7,1562608.3,669547.6,362614.3,95608.6,81093.4,432213.1,472753.8,47579.9,91878.2,650083.9,420922.5,510633.4,674898.1,1787478.8,1123438.9,208596.8,323715,159742.1,201846.6,165044.5,353792.7,341320.5,186243.7,920377.8,863218.9,381040.1,1432313.5,576118.1,1079214,942972.2,2558151.8,688454.9,903720.4,413968.5,771464.4,1199569.4,1156181.5,105667.2,177816.3,258463.8,1633545.6,72891.3,247839.5,123203.2,109072,362606.1,2551587.5,245040.1,1243790.8,581385.7,340153.4,1579407,156090.5,3109090.3
3-methyl-2-oxobutyrate,70598,41284.6,13157.7,,,9063.7,34503,53239.7,,21359.5,31232.1,21630.2,6164.2,,,41525.1,47638.7,19610.1,44060.3,15902.5,55485.7,12987.4,18538.4,26686.6,,,3277.6,,21900.8,,,13113.9,50592,5476.3,,,,9553.2,,,,,,,,,,28389.1,,,12261.1,24678.6,,,37415.4,,9358,,4446.7
3-methyl-2-oxovalerate,98669.2,118072.8,38743.8,25435.5,,21049.6,140885.8,165392.9,108316.1,71211.9,99715.5,76181.4,,15560.3,15558.7,108786.9,205126.8,76114.5,111502.9,48454.7,155971.7,62398.3,69953.4,73494.3,13230.1,14722.4,7745.4,9167.4,72341.7,23033.2,,22444.8,186822,,,,16578.9,30712.9,14343.8,7682.4,,18576.6,,,,,21086.8,88527.6,10699.4,,26679.8,59254.2,,43599.3,71884.8,36503.7,10753.7,38235.8,
3-phosphoglycerate,49258.6,265062.8,1025270.3,1077636.1,,20910.6,239397,273220.5,211045,358406.1,113550.4,,124510.6,427913.2,250647.2,267949.7,664965.9,43481.1,438123.4,403101.4,498806.4,861332.6,463055.4,370577.3,64199,,824245.2,401071.5,797836.6,972340.8,113683.1,564167.4,,245171,585984,311159.5,871492.9,672303.2,653802.6,1410053,416194.5,627247.5,18570.4,556303.8,767465.9,1059164.6,516854.1,952693.8,280472.6,98045.7,417703,355234.6,379220.3,714714.8,602611.1,256424.1,654178.4,1283153.4,703867.8
3-ureidopropionate,,,,,,,,,,,,,,,,,,,,,,,,,202707.6,225136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-acetamidobutanoate,,,,,,,,,,,,,,,,,,,,,,,,,492937.8,665697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-acetamidophenol,,,,,,,,,,,,,,,,,,,,,444573.2,275233.1,,,620123.2,753309.8,,,,,,,241154.6,490993.3,,,,,,,,,,,,,,,,,,,,,,,,,
4-acetaminophen sulfate,,,,,5990,11590,,,,,,,,,,,,,,,19432,42333.2,,,375309.7,600661.3,,,,,,,43286.9,26861.2,,,,,,,,,,,,,,,,,,,,,,,,,
"4-androsten-3beta,17beta-diol disulfate (1)*",,,,,,,,,,7729.7,,,,,6152.2,10417.4,,,7060.6,6674.9,,,,,155591.2,82838.7,7820,6160.6,4961.1,7232.4,17337,10032.7,5759.5,,,,6456.9,4813.7,,8857.2,,6484.5,6463.2,,,14565.3,8786.1,9660.8,,7910.3,6679,9349.2,,,,,,12248.2,13998.5
4-guanidinobutanoate,226577.7,36904.6,28885.1,19668.2,,22505.3,49330.5,,64853.5,,453406.9,21790,,23919.2,51373.3,,68213.9,,84715.9,51872.1,33567.2,35480.1,68318.1,113953.9,134684.3,263921.4,,,111351.6,73936.2,,,68716.4,31019.5,,,49420.9,18544.9,23016.2,,54289.3,64459.3,,,22989.3,31268.1,,75781.5,29730.9,,38412.8,43871.6,,29493.7,25183,,17496.5,26582.8,
4-hydroxybutyrate (GHB),20217,23135.3,21183.1,,,,16844.7,,6744.6,,67408.8,14723.3,,,11039.9,,16042.6,,30425.7,,20920.5,22161.5,13975.7,8201.1,19876.4,21623.1,,,,,,,13764.3,7319,,,,8277.1,,,,7087,,,,,10665.5,57279.4,14903.5,6918,8745.9,,,,,,,,
4-hydroxyhippurate,,,,,,,,,,,,,,,,,,,,,,,,,157064.1,204395.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-hydroxyphenylacetate,,,,,,,,,,,,,,,,,,,,,,,,,48283.1,71173.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-hydroxyphenylpyruvate,15077.6,18760.3,19979.6,,,84026.4,10931.3,9457.8,,43737.1,18373.3,38826.6,,,,13192.5,16418.7,26629,9194.6,27086.1,7298.2,,,6727.9,,19316.6,5553.8,,9813.1,,,18480.8,19753,,,,15639.5,14323.1,,14464.1,,8019.9,,,,35964.4,,,,15586,19660.5,7754.3,,37024.1,18469.2,36306.3,,6977.6,
4-methyl-2-oxopentanoate,220794.2,161195.9,72578.3,40694.9,,30127.9,331957.1,379628.9,90693.3,100213.5,183437.7,141198,18068.4,,23711,194904.9,194189.2,94063.3,262531.8,90748.1,265713.8,102399.4,130408.8,133262.4,23584.3,17928.8,18952.1,11180.5,107496.9,44058.2,,51467.2,260549.7,15741,5150.2,13538.1,18397.2,38122.9,17884.7,23264.3,,26882.3,,,,14161.6,20786.6,139196,30853.8,12877.3,31708.4,76268.3,10212.7,49901,117865.2,41032.9,20204.6,48103.8,19754.3
