,NCIA-01751,NCIA-01752,NCIA-01753,NCIA-01754,NCIA-01755,NCIA-01756,NCIA-01757,NCIA-01758,NCIA-01759,NCIA-01760,NCIA-01761,NCIA-01762,NCIA-01763,NCIA-01764,NCIA-01765,NCIA-01766,NCIA-01767,NCIA-01768,NCIA-01769,NCIA-01770,NCIA-01771,NCIA-01772,NCIA-01773,NCIA-01774,NCIA-01775,NCIA-01776,NCIA-01777,NCIA-01778,NCIA-01779,NCIA-01780,NCIA-01781,NCIA-01782,NCIA-01783,NCIA-01784,NCIA-01785,NCIA-01786,NCIA-01787,NCIA-01788,NCIA-01789,NCIA-01790,NCIA-01791,NCIA-01792,NCIA-01793,NCIA-01794,NCIA-01795,NCIA-01796,NCIA-01797,NCIA-01798,NCIA-01799,NCIA-01800,NCIA-01801,NCIA-01802,NCIA-01803,NCIA-01804,NCIA-01805,NCIA-01806,NCIA-01807,NCIA-01808,NCIA-01809
taurodeoxycholate,,,,,,,,,,,,,19085.4,10113.6,,,103616.2,26923,133929.6,32602.8,,,21004.9,41202,,10342.8,28733.6,,14465.4,,189119.8,9804.4,308444.7,,15911,23276.6,177643.2,46304.5,,,38282.5,99974.1,,,,,,39436.8,36775.1,,,11626,,,,,,,
tauroursodeoxycholate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34079.7,34538.9,,,1590953.8,,,,,,,,,,,,,,,,,,,,,,,,,,
tetradecanedioate,,,11339.3,17372.4,,,14461.1,19511,31040.6,,,6997.4,,11483.1,15733.9,17113.5,25850.7,7998,17132.3,18181.7,13949.6,8061.4,7108.9,13086.6,10914.7,5875.8,7174,12294.5,16379.5,20714.1,,,23104.7,16339.5,8240.4,7288.1,,4583.4,13137.3,10577.7,9508.2,,,8798.3,6064.2,6733.9,10848.3,4764.4,11251.8,,,,7453.3,,9006.2,,10406.9,,8614.2
threonine,8747744,5713499,4588289,3413331.8,1288480.4,10589452,21647678,25458084,15499695,8153453.5,45008436,38785956,2390961.5,5967960,6895413.5,10732571,11432530,5248672.5,29042864,11294530,8523513,4980588,14897949,19756282,4213371.5,5545276.5,2096437.8,2813573,4420208,1910601.6,726797.8,3617288.3,4859165,1446469.6,2670954.5,998509.2,3213657.5,3247098.8,7480625,3780077.3,1370473.5,803132.1,380561.7,2493704.5,2781088.8,1150339.4,7745059.5,22110800,4085470,2389044.5,4639686.5,3831957,4641452,5414653,7801294.5,4316302.5,4465944.5,6213776.5,1266550.1
threonylphenylalanine,61687.9,39466.6,,38795.7,,48982.7,,,22282.5,,,305901.9,27147.4,,,,,,,46556.2,,,,,,,,,,,,16371.1,21080.1,167976.3,,,,,,134690.7,,17675.9,,,,1585391.9,,,,,,,,46556.2,,90500.8,26840.4,,247650.5
thymidine,86418,,15835.1,,8275.8,6092.8,115119.3,105642.1,153083.8,21370.6,61927.8,15636,32246.6,39189.9,78178.9,9641.5,13340.7,,40535.2,11963.8,40058.2,13879.2,21379.5,22463.9,22472.8,,,,,,,,,,,,,,16946.5,,,,,,7468.6,4828.7,43953,6655.9,23378.5,,,,,,,,,,
thymidine 3'-monophosphate,65905.8,,30314.9,,7507.7,9184.5,179948.2,184707.3,271562.6,65243.1,194668.5,75575.4,42534.4,68024.7,78280.3,29794.2,36997,,200236,33651.1,53287.7,8778.9,72776.3,89632.6,28266.1,25315.9,7461.2,,,,,,,,23392.9,,,,36997,,,,,18984.7,,,34716.3,,8996.2,,,,14993.1,,,,,,
thymine,121080.1,25192.6,166638.3,16736.8,,43266.7,116903.8,321862.7,415953.3,248482.8,164480.2,117785.2,21701.7,73304.8,89637.4,15820.7,83479.9,,338443.8,59295.2,149114.8,70710.2,19408.8,111387.5,73006.6,,,13493.7,,16765.2,,20552.3,26003.8,5779.6,9651.9,9237,18415.7,17361.8,43266.7,11964,,,,,8736.6,66120.3,42770.2,,11031.6,,,,,,,,,,
tiglylcarnitine (C5:1-DC),,,33674.6,31719.3,,,,56868.3,99720.5,35218.8,107743.9,76060.6,,50886.7,54615.9,65170.6,,,88994.4,26437.8,72609,77669.3,69064.7,,104145.1,108138.7,81733.3,68837.5,28207.2,,,,,37829.7,19964.9,84738.9,,,,43778.2,26411.1,143721.5,,,,76385.9,,78496.5,,70200.6,19744.9,51311.1,,,64643.4,25622.2,55835.3,40955.6,46367.6
trans-4-hydroxyproline,87630.8,361451.3,300529.6,189709.5,,85805.5,157490.8,125900,484853.1,189709.5,734443.9,590772.3,27593.4,203146.7,200264,104922.6,103821.7,119479.4,590852.1,337695.5,125815.2,160254.7,303281.3,458869,363178.6,480962.6,177886.2,175727.8,188913.4,236355.4,107958.2,563749.3,289076,201384.7,109101.9,134454.2,197822.4,297315.9,322558.9,304227.7,229550.5,283016.4,13058.2,167480.3,213020.9,138436.9,59137.8,241052.8,62308.4,202110.8,96388.2,88936.3,134174.5,119485.3,84787.3,116556.7,237868.5,85343.9,209817.9
